park_name,total_bins,bins_recycling,bins_general
Allenby Reserve,1,0,1
Auckland Domain,23,3,20
Bannerman Reserve,1,0,1
Barry's Point Reserve,14,1,13
Bastian Point/Whenua Rangatira,15,0,15
Blockhouse Bay Beach Reserve,15,0,15
Chamberlain Park ,14,3,11
Cox's Bay Reserve,11,0,11
Fowlds Park,15,7,8
Grey Lynn Park,15,0,15
Keith Hay Park,9,4,5
Kepa Bush Reserve,15,0,15
Lemington Reserve,1,0,1
Madills Farm Recreation Reserve,10,0,10
Mauinaina Reserve,1,0,1
Maungakiekie/One Tree Hill,15,1,14
Maungawhau/Mount Eden,19,0,19
Meola Reef Reserve,6,0,6
Moa Reserve,2,0,2
Monte Cecilia Park,12,0,12
Morningside Reserve,1,0,1
Mount Wellington War Memorial Park,11,0,11
Mt Roskill War Memorial Park,10,0,10
Narrow Neck,7,1,6
Onehunga Bay Reserve,5,0,5
Onepoto Domain,13,0,13
Onewa Domain,14,0,14
School Reserve,1,0,1
Seddon Park,5,0,5
Seymour Park,1,0,1
Shepherds Park,15,0,15
Taumanu Reserve,2,0,2
Waiatarua Reserve,9,0,9
Waitemata Golf Club,3,0,3
Western Springs Lakeside Park,15,0,15
Westmere Park,1,0,1
Wolseley Reserve,1,0,1
Woodall Park,4,0,4
